Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
69,1179,69,Jun 18,CIN,@,HOU,L4-5,CG(11),5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.247,.375,.435,.810,2,1.35,-0.058,-0.46,5.00,6.20,DH
70,1180,70,Jun 19,CIN,@,HOU,L0-6,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.247,.373,.432,.805,2,.75,-0.028,-0.36,3.00,3.00,1B
71,1181,73 (2),Jun 23,CIN,,SDP,L4-7,9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.246,.372,.430,.802,9,.91,-0.023,-0.23,0.00,0.00,PH
72,1182,74,Jun 24,CIN,,SDP,L4-13,CG,5,3,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,.243,.372,.425,.797,2,1.46,0.005,0.10,6.00,9.20,1B
73,1183,75,Jun 25,CIN,,SDP,L0-3,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.243,.370,.422,.793,2,.88,-0.049,-0.37,3.00,3.00,1B
74,1184,76,Jun 26,CIN,,SDP,W3-0,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.244,.372,.421,.793,2,.54,-0.001,0.19,5.00,6.00,1B
75,1185,77,Jun 27,CIN,,CHC,L8-11,CG,5,4,3,2,0,0,2,3,1,0,0,0,0,0,0,0,1,0,.248,.376,.446,.822,3,1.40,0.013,1.90,39.00,53.10,1B
76,1186,78,Jun 28,CIN,,CHC,L2-7,CG(15),6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.242,.369,.436,.804,2,2.04,-0.412,-1.88,0.00,0.00,1B
77,1187,79,Jun 29,CIN,,CHC,L2-9,CG,5,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,.244,.375,.436,.811,2,.25,0.056,0.76,9.00,12.00,1B
78,1188,80,Jun 30,CIN,@,WSN,L4-13,GS-6,3,3,1,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,.249,.378,.454,.832,2,.85,0.075,1.81,19.00,24.70,1B
79,1189,81,Jul 1,CIN,@,WSN,L2-3,CG(14),6,6,1,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.255,.380,.458,.838,2,1.28,0.035,0.31,13.00,15.20,1B
80,1190,83 (1),Jul 3,CIN,@,WSN,L1-12,CG,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.253,.382,.455,.837,3,.58,0.081,0.19,4.00,6.00,1B
81,1191,84,Jul 4,CIN,@,CHC,L4-10,CG,4,3,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.257,.386,.457,.843,3,.21,0.028,0.66,10.00,12.20,1B
82,1192,85,Jul 5,CIN,@,CHC,W9-5,CG,5,1,2,1,1,0,0,2,3,0,0,0,0,1,0,0,0,0,.260,.392,.463,.855,3,.89,0.117,1.47,19.00,28.40,1B
83,1193,86,Jul 6,CIN,@,CHC,W5-3,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.257,.390,.458,.848,3,.59,-0.030,-0.36,2.00,3.00,1B
84,1194,87,Jul 8,CIN,@,MIA,L1-3,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.253,.386,.451,.837,3,1.24,-0.136,-0.96,0.00,0.00,1B
85,1195,88,Jul 9,CIN,@,MIA,L2-4,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.254,.387,.450,.837,3,1.12,0.010,-0.07,5.00,6.00,1B
86,1196,89,Jul 10,CIN,@,MIA,L3-7,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.252,.386,.446,.831,3,.80,-0.015,-0.28,2.00,3.00,1B
87,1197,90,Jul 15,CIN,,MIL,W5-4,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.252,.384,.443,.827,3,1.37,-0.092,-1.05,5.00,6.20,1B
88,1198,91,Jul 16,CIN,,MIL,L1-9,CG,5,5,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.261,.390,.452,.842,3,.11,0.019,0.75,16.00,18.20,1B
89,1199,92,Jul 17,CIN,,MIL,W1-0,CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.261,.391,.451,.842,3,1.68,0.000,-0.23,5.00,6.00,1B
90,1200,93,Jul 18,CIN,,ATL,W8-2,CG,4,3,2,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,.265,.395,.463,.858,3,.54,0.115,1.85,25.00,34.90,1B
91,1201,94,Jul 19,CIN,,ATL,L4-5,CG(11),5,2,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,.270,.403,.466,.869,3,1.19,0.224,1.41,14.00,18.20,1B
92,1202,95,Jul 20,CIN,,ATL,W6-3,CG,4,3,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,.271,.404,.475,.878,3,1.36,-0.034,0.72,18.00,25.20,1B
93,1203,96,Jul 22,CIN,,ARI,W6-2,CG,5,3,2,1,0,0,1,3,2,1,0,0,0,0,0,0,0,0,.271,.406,.483,.889,3,.83,0.173,2.04,24.00,34.90,1B
94,1204,97,Jul 23,CIN,,ARI,W6-1,CG,4,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.275,.410,.484,.894,3,.89,0.068,1.07,17.00,21.40,1B
95,1205,98,Jul 24,CIN,,ARI,L8-9,CG,5,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.276,.412,.483,.895,3,1.51,0.078,0.63,9.00,12.20,1B
96,1206,99,Jul 25,CIN,@,SFG,W7-5,CG,5,4,2,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,.275,.412,.483,.895,3,.92,0.096,0.15,11.00,15.40,1B
97,1207,100,Jul 26,CIN,@,SFG,L7-9,CG,5,3,2,2,0,0,1,2,1,0,0,0,0,1,0,0,0,0,.279,.414,.494,.908,3,1.23,-0.033,1.13,23.00,31.40,1B
98,1208,101,Jul 27,CIN,@,SFG,W2-1,CG,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.281,.415,.494,.909,3,.83,-0.048,-0.11,6.00,6.00,1B
99,1209,102,Jul 29,CIN,@,SDP,W6-0,CG,5,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.282,.417,.493,.910,3,.43,0.019,0.21,9.00,12.20,1B
100,1210,103,Jul 30,CIN,@,SDP,L1-2,CG(10),4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.284,.418,.493,.911,3,1.07,-0.044,-0.16,6.00,6.00,1B
101,1211,104,Jul 31,CIN,@,SDP,W3-2,CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.285,.419,.491,.910,3,.86,0.001,-0.01,5.00,6.00,1B
102,1212,105,Aug 2,CIN,,STL,W7-5,CG,5,4,2,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.293,.425,.500,.925,3,1.62,0.319,1.97,22.00,27.90,1B
103,1213,106,Aug 3,CIN,,STL,L4-5,CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.293,.424,.497,.921,3,1.62,-0.038,0.17,5.00,6.50,1B
104,1214,107,Aug 4,CIN,,STL,W7-0,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.289,.420,.492,.911,3,.55,-0.060,-1.20,0.00,0.00,1B
105,1215,108,Aug 5,CIN,@,PIT,L2-3,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.290,.421,.490,.911,3,1.22,0.039,0.09,5.00,6.00,1B
106,1216,109,Aug 6,CIN,@,PIT,L3-5,CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,.289,.419,.490,.909,3,.88,-0.076,-0.63,5.00,6.00,1B
107,1217,110,Aug 7,CIN,@,PIT,W7-3,CG,4,0,1,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,.289,.422,.490,.912,3,.76,0.061,0.89,10.00,15.70,1B
108,1218,111,Aug 8,CIN,@,STL,L4-5,CG,5,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.288,.420,.492,.911,3,.55,0.041,0.25,10.00,12.50,1B
109,1219,112,Aug 9,CIN,@,STL,W7-4,CG,5,4,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.290,.422,.492,.913,3,1.36,0.118,0.55,10.00,12.50,1B
110,1220,113,Aug 10,CIN,@,STL,L2-3,CG,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.293,.422,.495,.917,3,.85,0.060,0.41,10.00,12.20,1B
111,1221,114,Aug 12,CIN,@,MIL,W7-4,CG,5,4,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.295,.424,.495,.919,3,.40,-0.012,0.17,12.00,15.40,1B
112,1222,115,Aug 13,CIN,@,MIL,W11-5,GS-8,5,5,1,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,.301,.428,.504,.932,3,.74,0.127,3.37,22.00,28.20,1B
113,1223,116,Aug 14,CIN,@,MIL,L3-7,CG,4,4,1,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,.303,.429,.514,.943,3,.58,-0.054,1.96,23.00,31.70,1B
114,1224,117,Aug 15,CIN,,MIA,L3-6,CG,5,4,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.303,.428,.511,.940,3,1.33,-0.014,-0.01,5.00,6.00,1B
115,1225,118,Aug 16,CIN,,MIA,W6-3,CG,4,3,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.303,.427,.510,.937,3,.34,-0.005,-0.66,7.00,9.70,1B
116,1226,119,Aug 17,CIN,,MIA,W3-2,CG,4,3,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,.303,.427,.509,.936,3,1.43,-0.047,-0.58,7.00,9.20,1B
117,1227,120,Aug 18,CIN,,MIA,W5-4,CG,4,2,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,.302,.428,.506,.934,3,.86,-0.021,-0.01,11.00,15.20,1B
118,1228,121,Aug 19,CIN,,LAD,W9-2,CG,4,3,2,2,0,0,1,4,1,0,1,0,0,0,0,0,0,0,.304,.431,.515,.945,3,.60,0.152,2.88,27.00,38.40,1B
119,1229,122,Aug 20,CIN,,LAD,W11-1,GS-8,4,3,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.307,.433,.516,.949,3,.42,0.055,1.00,12.00,15.70,1B
120,1230,123,Aug 21,CIN,,LAD,L0-4,7-8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.306,.432,.515,.947,9,1.19,-0.033,-0.50,0.00,0.00,PH
121,1231,124,Aug 22,CIN,,LAD,L9-18,CG,6,6,2,3,1,1,0,4,0,0,0,0,0,0,0,0,0,0,.309,.433,.522,.955,3,.62,0.183,2.54,28.00,38.40,1B
122,1232,125,Aug 23,CIN,,TEX,W3-0,CG,4,3,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,.312,.434,.523,.956,3,1.06,0.175,0.79,10.00,13.00,1B
123,1233,126,Aug 24,CIN,,TEX,L5-6,CG,4,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,.310,.432,.519,.951,3,.94,-0.031,-0.23,2.00,3.00,1B
124,1234,127,Aug 26,CIN,@,ARI,L3-4,CG(11),6,3,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,.310,.435,.518,.953,3,2.09,0.143,0.83,9.00,12.00,1B
125,1235,128,Aug 27,CIN,@,ARI,W13-0,GS-7,4,4,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,.311,.435,.527,.962,3,.40,0.167,1.48,23.00,31.40,1B
126,1236,129,Aug 28,CIN,@,ARI,L2-11,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.309,.432,.522,.954,3,.26,-0.027,-0.43,0.00,0.00,1B
127,1237,130,Aug 29,CIN,@,LAA,L2-9,CG,4,4,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,.308,.431,.526,.957,3,.81,0.066,0.51,16.00,22.20,1B
128,1238,131,Aug 30,CIN,@,LAA,L2-4,CG,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.310,.431,.526,.957,3,.71,-0.012,0.12,6.00,6.00,1B
129,1239,132,Aug 31,CIN,@,LAA,L0-3,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.309,.430,.524,.954,3,.92,-0.099,-0.77,3.00,3.00,1B
