Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
78,1201,84,Jul 4,CIN,@,CHC,L4-10,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.268,.314,.540,.854,4,.33,-0.024,0.46,3.00,3.00,RF
79,1202,85,Jul 5,CIN,@,CHC,W9-5,CG,5,4,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,.268,.315,.546,.861,4,.69,0.018,1.02,18.00,25.20,RF
80,1203,86,Jul 6,CIN,@,CHC,W5-3,9-9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.268,.317,.546,.863,9,.25,0.000,0.03,2.00,3.00,PH
81,1204,87,Jul 8,CIN,@,MIA,L1-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.265,.313,.539,.852,4,1.13,-0.115,-0.86,0.00,0.00,RF
82,1205,88,Jul 9,CIN,@,MIA,L2-4,CG,4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.264,.313,.538,.851,4,1.38,-0.039,-0.14,7.00,9.20,RF
83,1206,89,Jul 10,CIN,@,MIA,L3-7,CG,4,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.267,.315,.538,.853,4,1.00,0.124,1.06,10.00,12.70,RF
84,1207,90,Jul 15,CIN,,MIL,W5-4,CG,4,2,1,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,.269,.320,.541,.861,4,1.46,0.161,1.34,13.00,18.70,RF
85,1208,91,Jul 16,CIN,,MIL,L1-9,GS-8,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.267,.320,.537,.857,4,.34,0.006,-0.63,2.00,3.00,RF
86,1209,92,Jul 17,CIN,,MIL,W1-0,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.265,.317,.532,.850,4,1.60,-0.154,-1.35,0.00,0.00,RF
87,1210,93,Jul 18,CIN,,ATL,W8-2,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.264,.317,.529,.845,4,.69,-0.032,-0.91,3.00,3.00,RF
